county,precinct,office,party,candidate,votes
Greene,Dunkard Township #1 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,56
Greene,Dunkard Township #1 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,58
Greene,Dunkard Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,33
Greene,Dunkard Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,28
Greene,Dunkard Township #1 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,57
Greene,Dunkard Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,19
Greene,Dunkard Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,44
Greene,Dunkard Township #1 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,64
Greene,Dunkard Township #1 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,54
Greene,Dunkard Townshp #2 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,61
Greene,Dunkard Townshp #2 Voting Precinct,Rep Governor,Republican,Stacy Garrity,73
Greene,Dunkard Townshp #2 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,57
Greene,Dunkard Townshp #2 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,35
Greene,Dunkard Townshp #2 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,45
Greene,Dunkard Townshp #2 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,56
Greene,Dunkard Townshp #2 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,76
Greene,Dunkard Townshp #2 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,51
Greene,Dunkard Townshp #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,55
Greene,Dunkard Townshp #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,30
Greene,Dunkard Townshp #2 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,54
Greene,Dunkard Townshp #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,23
Greene,Dunkard Townshp #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,66
Greene,Dunkard Townshp #2 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,62
Greene,Dunkard Townshp #2 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,75
Greene,Jefferson Township #1 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,89
Greene,Jefferson Township #1 Voting Precinct,Rep Governor,Republican,Stacy Garrity,123
Greene,Jefferson Township #1 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,85
Greene,Jefferson Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,70
Greene,Jefferson Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,53
Greene,Jefferson Township #1 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,82
Greene,Jefferson Township #1 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,131
Greene,Jefferson Township #1 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,83
Greene,Jefferson Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,81
Greene,Jefferson Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,61
Greene,Jefferson Township #1 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,78
Greene,Jefferson Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,49
Greene,Jefferson Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,100
Greene,Jefferson Township #1 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,81
Greene,Jefferson Township #1 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,118
Greene,Jefferson Township #1 Voting Precinct,Rep Member Of Republican County Committee Jefferson 1 (Vote for 2),Republican,Rebecca Trigger,100
Greene,Jefferson Township #1 Voting Precinct,Rep Member Of Republican County Committee Jefferson 1 (Vote for 2),Republican,Donald P. Wilson,114
Greene,Jefferson Township #2 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,20
Greene,Jefferson Township #2 Voting Precinct,Rep Governor,Republican,Stacy Garrity,19
Greene,Jefferson Township #2 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,18
Greene,Jefferson Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,10
Greene,Jefferson Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,9
Greene,Jefferson Township #2 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,18
Greene,Jefferson Township #2 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,19
Greene,Jefferson Township #2 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,16
Greene,Jefferson Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,13
Greene,Jefferson Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,7
Greene,Jefferson Township #2 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,17
Greene,Jefferson Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,6
Greene,Jefferson Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,14
Greene,Jefferson Township #2 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,20
Greene,Jefferson Township #2 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,18
Greene,Jefferson Township #2 Voting Precinct,Rep Member Of Republican County Committee Jefferson 2 (Vote for 2),Republican,Mark W. Starostanko,19
Greene,Jefferson Township #3 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,90
Greene,Jefferson Township #3 Voting Precinct,Rep Governor,Republican,Stacy Garrity,94
Greene,Jefferson Township #3 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,88
Greene,Jefferson Township #3 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,56
Greene,Jefferson Township #3 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,46
Greene,Jefferson Township #3 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,83
Greene,Jefferson Township #3 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,105
Greene,Jefferson Township #3 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,79
Greene,Jefferson Township #3 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,74
Greene,Jefferson Township #3 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,41
Greene,Jefferson Township #3 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,77
Greene,Jefferson Township #3 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,51
Greene,Jefferson Township #3 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,64
Greene,Jefferson Township #3 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,88
Greene,Jefferson Township #3 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,100
Greene,Jefferson Township #3 Voting Precinct,Rep Member Of Republican County Committee Jefferson 3 (Vote for 2),Republican,Daniel Wagner,81
Greene,Jefferson Township #3 Voting Precinct,Rep Member Of Republican County Committee Jefferson 3 (Vote for 2),Republican,Robert Berdine,72
Greene,Jefferson Township #4 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,29
Greene,Jefferson Township #4 Voting Precinct,Rep Governor,Republican,Stacy Garrity,11
Greene,Jefferson Township #4 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,26
Greene,Jefferson Township #4 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,9
Greene,Jefferson Township #4 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,5
Greene,Jefferson Township #4 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,26
Greene,Jefferson Township #4 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,13
Greene,Jefferson Township #4 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,26
Greene,Jefferson Township #4 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,10
Greene,Jefferson Township #4 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,7
Greene,Jefferson Township #4 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,26
Greene,Jefferson Township #4 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,6
Greene,Jefferson Township #4 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,10
Greene,Jefferson Township #4 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,25
Greene,Jefferson Township #4 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,13
Greene,Jefferson Township #4 Voting Precinct,Rep Member Of Republican County Committee Jefferson 4 (Vote for 2),Republican,Cheryl Stickovich-kefover,13
Greene,Jefferson Township #4 Voting Precinct,Rep Member Of Republican County Committee Jefferson 4 (Vote for 2),Republican,Adam Kefover,12
Greene,Monongahela Township #1 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,57
Greene,Monongahela Township #1 Voting Precinct,Rep Governor,Republican,Stacy Garrity,74
Greene,Monongahela Township #1 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,51
Greene,Monongahela Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,35
Greene,Monongahela Township #1 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,35
Greene,Monongahela Township #1 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,50
Greene,Monongahela Township #1 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,73
Greene,Monongahela Township #1 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,49
Greene,Monongahela Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,52
Greene,Monongahela Township #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,31
Greene,Monongahela Township #1 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,48
Greene,Monongahela Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,29
Greene,Monongahela Township #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,58
Greene,Monongahela Township #1 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,52
Greene,Monongahela Township #1 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,70
Greene,Monongahela Township #1 Voting Precinct,Rep Member Of Republican County Committee Monongahela (Vote for 2),Republican,Gary P. Moser,71
Greene,Monongahela Township #2 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,35
Greene,Monongahela Township #2 Voting Precinct,Rep Governor,Republican,Stacy Garrity,34
Greene,Monongahela Township #2 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,35
Greene,Monongahela Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,18
Greene,Monongahela Township #2 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,17
Greene,Monongahela Township #2 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,35
Greene,Monongahela Township #2 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,33
Greene,Monongahela Township #2 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,34
Greene,Monongahela Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,22
Greene,Monongahela Township #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,13
Greene,Monongahela Township #2 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,34
Greene,Monongahela Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,10
Greene,Monongahela Township #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,26
Greene,Monongahela Township #2 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,38
Greene,Monongahela Township #2 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,29
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Governor,Democrat,Josh Shapiro,40
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Governor,Republican,Stacy Garrity,33
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,38
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,17
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,14
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,39
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,31
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,38
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,26
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,11
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,35
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,17
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,22
Greene,Morgan Township Chart/t Grdn Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,41
Greene,Morgan Township Chart/t Grdn Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,27
Greene,Morgan Township Lippencott Voting Precinct,Dem Governor,Democrat,Josh Shapiro,54
Greene,Morgan Township Lippencott Voting Precinct,Rep Governor,Republican,Stacy Garrity,116
Greene,Morgan Township Lippencott Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,52
Greene,Morgan Township Lippencott Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,37
Greene,Morgan Township Lippencott Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,77
Greene,Morgan Township Lippencott Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,50
Greene,Morgan Township Lippencott Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,116
Greene,Morgan Township Lippencott Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,53
Greene,Morgan Township Lippencott Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,60
Greene,Morgan Township Lippencott Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,62
Greene,Morgan Township Lippencott Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,49
Greene,Morgan Township Lippencott Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,41
Greene,Morgan Township Lippencott Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,90
Greene,Morgan Township Lippencott Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,58
Greene,Morgan Township Lippencott Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,111
Greene,Morgan Township Lippencott Voting Precinct,Rep Member Of Republican County Committee Morgan Lipp (Vote for 2),Republican,Clint Blaney,96
Greene,Morgan Township Lippencott Voting Precinct,Rep Member Of Republican County Committee Morgan Lipp (Vote for 2),Republican,Philomena Blaney,75
Greene,Morgan Township Lippencott Voting Precinct,Rep Member Of Republican County Committee Morgan Lipp (Vote for 2),Republican,Cheryl Semonick,46
Greene,Morgan Township Mather Voting Precinct,Dem Governor,Democrat,Josh Shapiro,94
Greene,Morgan Township Mather Voting Precinct,Rep Governor,Republican,Stacy Garrity,67
Greene,Morgan Township Mather Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,88
Greene,Morgan Township Mather Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,30
Greene,Morgan Township Mather Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,42
Greene,Morgan Township Mather Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,81
Greene,Morgan Township Mather Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,72
Greene,Morgan Township Mather Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,79
Greene,Morgan Township Mather Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,47
Greene,Morgan Township Mather Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,33
Greene,Morgan Township Mather Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,81
Greene,Morgan Township Mather Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,43
Greene,Morgan Township Mather Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,42
Greene,Morgan Township Mather Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,94
Greene,Morgan Township Mather Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,65
Greene,Morgan Township Mather Voting Precinct,Rep Member Of Republican County Committee Morgan Mather (Vote for 2),Republican,Darrell Day,64
